player_name,age,team_abbreviation,draft_round,draft_number,player_height,player_weight,ptsseason1,ptsseason2,ptsseason3,ptsseason4,ptsseason5
Marvin Bagley III,20,SAC,1,2,210.82,106.140528,14.9,14.2,14.1,11.3,12
Marvin Williams,20,ATL,1,2,205.74,104.32616,8.5,13.1,14.8,13.9,10.1
Mason Plumlee,24,BKN,1,22,210.82,106.59412,7.4,8.7,9.1,10.4,7.1
Mateen Cleaves,23,DET,1,14,187.96,92.98636,5.4,2.2,1.3,3.8,0.9
Matt Harpring,23,ORL,1,15,200.66,104.779752,8.2,4,11.1,11.8,17.6
Maurice Harkless,20,ORL,1,15,203.2,95.25432,8.2,7.4,3.5,6.4,10
Melvin Ely,25,LAC,1,12,208.28,117.93392,4.5,3.7,7.3,9.8,3
Metta World Peace,20,CHI,1,16,198.12,110.676448,12,11.9,13.2,15.5,18.3
Meyers Leonard,21,POR,1,11,215.9,111.13004,5.5,2.5,5.9,8.4,5.4
Michael Beasley,20,MIA,1,2,205.74,111.13004,13.9,14.8,19.2,11.5,10.1
Michael Bradley,23,TOR,1,17,205.74,102.965384,1.2,5,0.9,1.8,1.5
Michael Carter-Williams,22,PHI,1,11,198.12,83.91452,16.7,14.6,11.5,6.6,4.6
Michael Dickerson,24,HOU,1,14,195.58,86.18248,10.9,18.2,16.3,10.8,4.8
Michael Doleac,22,ORL,1,12,210.82,118.841104,6.2,7,6.4,4.6,4.4
Michael Kidd-Gilchrist,19,CHA,1,2,200.66,105.233344,9,7.2,10.9,12.7,9.2
Michael Olowokandi,24,LAC,1,1,213.36,122.016248,8.9,9.8,8.5,11.1,12.3
Michael Redd,21,MIL,2,43,198.12,97.068688,2.2,11.4,15.1,21.7,23
Mickael Pietrus,22,GSW,1,11,198.12,95.25432,5.3,9.5,9.3,11.1,7.2
Mikal Bridges,22,PHX,1,10,200.66,95.25432,8.3,9.1,13.5,14.2,20.1
Mike Bibby,21,MEM,1,2,187.96,86.18248,13.2,14.5,15.9,13.7,15.9
Mike Conley,20,MEM,1,4,185.42,81.64656,9.4,10.9,12,13.7,12.7
Mike Dunleavy,22,GSW,1,3,205.74,100.243832,5.7,11.7,13.4,11.5,12.8
Mike Miller,21,ORL,1,5,203.2,98.883056,11.9,15.2,15.6,11.1,13.4
Mike Muscala,22,ATL,2,44,210.82,108.408488,3.8,4.9,3.3,6.2,7.6
Mike Scott,24,ATL,2,43,203.2,107.501304,4.6,9.6,7.8,6.2,2.5
Miles Plumlee,24,IND,1,26,210.82,115.66596,0.9,8.1,4,5.1,2.5
Mitchell Robinson,21,NYK,2,36,215.9,108.86208,7.3,9.7,8.3,8.5,7.4
Mo Bamba,21,ORL,1,6,213.36,100.243832,6.2,5.4,8,10.6,6.6
Mo Williams,21,UTA,2,47,185.42,83.91452,5,10.2,12.1,17.3,17.2
Monta Ellis,20,GSW,2,40,190.5,80.285784,6.8,16.5,20.2,19,25.5
Monte Morris,23,DEN,2,51,190.5,79.3786,3.3,10.4,9,10.2,12.6
Montrezl Harrell,22,HOU,2,32,203.2,108.86208,3.6,9.1,11,16.6,18.6
Moritz Wagner,22,LAL,1,25,210.82,111.13004,4.8,8.7,6.9,9,10.5
Morris Peterson,23,TOR,1,21,200.66,98.883056,9.3,14,14.1,8.3,12.5
Myles Turner,20,IND,1,11,210.82,110.222856,10.3,14.5,12.7,13.3,12.1
Nate Robinson,22,NYK,1,21,175.26,81.64656,9.3,10.1,12.7,17.2,10.1
Nazr Mohammed,21,PHI,1,29,208.28,108.86208,1.6,1.9,7.6,9.7,4.6
Nene,20,DEN,1,7,210.82,117.93392,10.5,11.8,9.6,0,12.2
Nick Young,23,WAS,1,16,198.12,90.7184,7.5,10.9,8.6,17.4,14.2
Nicolas Batum,20,POR,1,25,203.2,90.7184,5.4,10.1,12.4,13.9,14.3
Nik Stauskas,21,SAC,1,8,198.12,92.98636,4.4,8.5,9.5,4.4,5.9
Nikola Vucevic,21,PHI,1,16,213.36,108.86208,5.5,13.1,14.2,19.3,18.2
Noah Vonleh,19,CHA,1,9,208.28,108.86208,3.3,3.6,4.4,4.9,8.4
Norman Powell,23,TOR,2,46,193.04,97.52228,5.6,8.4,5.5,8.6,16
Norris Cole,23,MIA,1,28,187.96,79.3786,6.8,5.6,6.4,7.6,10.6
O.J. Mayo,21,MEM,1,3,193.04,95.25432,18.5,17.5,11.3,12.6,15.3
OG Anunoby,20,TOR,1,23,203.2,106.59412,5.9,7,10.6,15.9,17.1
Omri Casspi,22,SAC,1,23,205.74,102.0582,10.3,8.6,7.1,4,6.9
Othella Harrington,23,HOU,2,30,205.74,106.59412,4.8,6,9.8,13.1,9
Otto Porter Jr.,21,WAS,1,3,203.2,89.811216,2.1,6,11.6,13.4,14.7
Pascal Siakam,23,TOR,1,27,205.74,104.32616,4.2,7.3,16.9,22.9,21.4
Pat Connaughton,23,POR,2,41,195.58,93.439952,1.1,2.5,5.4,6.9,5.4
Pat Garrity,22,PHX,1,19,205.74,107.954896,5.6,8.2,8.3,11.1,10.7
Patrick McCaw,21,GSW,2,38,200.66,83.91452,4,4,2.6,4.6,1
Patrick Patterson,22,HOU,1,14,205.74,106.59412,6.3,7.7,10.4,8.5,8
Patty Mills,21,POR,2,55,182.88,83.91452,2.6,5.5,10.3,5.1,10.2
Pau Gasol,21,MEM,1,3,213.36,102.965384,17.6,19,17.7,17.8,20.4
Paul George,21,IND,1,10,203.2,95.25432,7.8,12.1,17.4,21.7,8.8
Paul Millsap,22,UTA,2,47,203.2,117.026736,6.8,8.1,13.5,11.6,17.3
Paul Pierce,21,BOS,1,10,200.66,99.79024,16.5,19.5,25.3,26.1,25.9
Quentin Richardson,21,LAC,1,18,198.12,101.151016,8.1,13.3,9.4,17.2,14.9
Quincy Acy,22,TOR,2,37,200.66,102.0582,4,2.7,5.9,5.2,5.8
Quincy Pondexter,23,NOP,1,26,198.12,102.0582,2.8,4.2,6.4,6.3,7.2
Raef LaFrentz,23,DEN,1,3,210.82,108.86208,13.8,12.4,12.9,13.5,9.3
Rajon Rondo,21,BOS,1,21,185.42,77.564232,6.4,10.6,11.9,13.7,10.6
Ramon Sessions,22,MIL,2,56,190.5,86.18248,8.1,12.4,8.2,13.3,11.3
Randy Foye,23,MIN,1,7,193.04,96.615096,10.1,13.1,16.3,10.1,9.8
Randy Livingston,22,HOU,2,42,193.04,94.800728,3.9,0.8,12,4.8,0
Rashard Lewis,19,OKC,2,32,208.28,97.52228,2.4,8.2,14.8,16.8,18.1
Rasho Nesterovic,23,MIN,1,17,213.36,112.490816,4,5.7,4.5,8.4,11.2
Rasual Butler,24,MIA,2,52,200.66,92.98636,7.5,6.8,6.5,8.7,10.1
Ray Allen,21,MIL,1,5,195.58,92.98636,13.4,19.5,17.1,22.1,22
Raymond Felton,22,CHA,1,5,185.42,89.811216,11.9,14,14.4,14.2,12.1
Reggie Bullock,23,LAC,1,25,200.66,92.98636,2.7,1.9,3.3,4.5,11.3
Reggie Jackson,22,OKC,1,24,190.5,94.347136,3.1,5.3,13.1,14.5,18.8
Renaldo Balkman,22,NYK,1,20,203.2,94.347136,4.9,3.4,5,1.1,2
Richard Hamilton,22,WAS,1,7,198.12,83.91452,9,18.1,20,19.7,17.6
Richard Jefferson,22,BKN,1,13,200.66,100.697424,9.4,15.5,18.5,22.2,19.5
Richaun Holmes,22,PHI,2,37,208.28,111.13004,5.6,9.8,6.5,8.2,12.3
Ricky Davis,19,CHA,1,21,200.66,88.45044,4.5,4.7,4.6,11.7,20.6
Robert Traylor,22,MIL,1,6,203.2,128.820128,5.3,3.6,5.7,3.7,3.9
Robert Williams III,21,BOS,1,27,208.28,108.86208,2.5,5.2,8,10,8
Robin Lopez,21,PHX,1,15,213.36,115.66596,3.2,8.4,6.4,5.4,11.3
Rodney Carney,23,PHI,1,16,200.66,92.98636,6.6,5.8,7.2,4.7,4.7
Rodney Hood,22,UTA,1,23,203.2,97.52228,8.7,14.5,12.7,14.7,11.2
Rodney Stuckey,22,DET,1,15,195.58,92.98636,7.6,13.4,16.6,15.5,14.8
Ron Mercer,22,BOS,1,6,200.66,95.25432,15.3,17,16.9,19.7,13.9
Rondae Hollis-Jefferson,21,BKN,1,23,200.66,99.79024,5.8,8.7,13.9,8.9,7
Ronnie Brewer,22,UTA,1,14,200.66,98.883056,4.6,12,13.7,8.8,6.2
Ronny Turiaf,23,LAL,2,37,208.28,112.944408,2,5.3,6.6,5.9,4.9
Roy Hibbert,22,IND,1,17,218.44,126.098576,7.1,11.7,12.7,12.8,11.9
Royal Ivey,23,ATL,2,37,190.5,90.7184,3.5,3.6,3,5.6,3
Ruben Patterson,23,LAL,2,31,198.12,102.965384,2.7,11.6,13,11.2,8.3
Rudy Gay,20,MEM,1,8,205.74,99.79024,10.8,20.1,18.9,19.6,19.8
Rudy Gobert,22,UTA,1,27,215.9,111.13004,2.3,8.4,9.1,14,13.5
Russell Westbrook,20,OKC,1,4,190.5,84.821704,15.3,16.1,21.9,23.6,23.2
Ryan Anderson,21,BKN,1,21,208.28,108.86208,7.4,7.7,10.6,16.1,16.2
Ryan Gomes,23,BOS,2,50,200.66,113.398,7.6,12.1,12.6,13.3,10.9
Ryan Hollins,22,CHA,2,50,213.36,104.32616,2.4,2.5,3.2,6.1,5.3
Samaki Walker,21,DAL,1,9,205.74,108.86208,4.9,8.9,5.9,5.1,5.3
Sasha Pavlovic,20,UTA,1,19,200.66,95.25432,4.8,4.8,4.5,9,7.4
Sasha Vujacic,21,LAL,1,27,200.66,87.543256,2.9,3.9,4.3,8.8,5.8
Scot Pollard,23,DET,1,19,210.82,120.20188,2.7,5.1,5.4,6.5,6.4
Scott Padgett,24,UTA,1,28,205.74,108.86208,2.6,2.1,6.7,5.7,3.4
Sebastian Telfair,20,POR,1,13,182.88,72.57472,6.8,9.5,6.1,9.3,9.8
Semi Ojeleye,23,BOS,2,37,200.66,106.59412,2.7,3.3,3.4,4.6,3.3
Shabazz Muhammad,21,MIN,1,14,198.12,100.697424,3.9,13.5,10.5,9.9,5
Shabazz Napier,23,MIA,1,24,185.42,79.3786,5.1,3.7,4.1,8.7,9.4
Shai Gilgeous-Alexander,20,LAC,1,11,198.12,82.100152,10.8,19,23.7,24.5,31.4
Shake Milton,22,PHI,2,54,198.12,93.893544,4.4,9.4,13,8.2,8.4
Shammond Williams,24,ATL,2,34,185.42,91.171992,1.5,5.2,6.8,4.4,8
Shandon Anderson,23,UTA,2,54,198.12,94.347136,5.9,8.3,8.5,12.3,8.7
Shane Battier,23,MEM,1,6,203.2,99.79024,14.4,9.7,8.5,9.9,10.1
Shannon Brown,21,CLE,1,25,193.04,92.98636,3.2,5.4,4.2,8.1,8.7
Shareef Abdur-Rahim,20,MEM,1,3,205.74,104.32616,18.7,22.3,23,20.3,20.5
Shawn Marion,22,PHX,1,9,200.66,97.52228,10.2,17.3,19.1,21.2,19
Shelden Williams,23,ATL,1,5,205.74,113.398,5.5,4,4.1,3.7,4.5
Shelvin Mack,22,WAS,2,34,190.5,93.893544,3.6,4.6,7.5,5.4,8.6
Solomon Hill,23,IND,1,23,200.66,102.0582,1.7,8.9,4.2,7,2.4
Solomon Jones,22,ATL,2,33,208.28,104.32616,3.3,1,3,4,3.6
Spencer Dinwiddie,22,DET,2,38,198.12,90.7184,4.3,4.8,7.3,12.6,16.8
Spencer Hawes,20,SAC,1,10,213.36,111.13004,4.7,11.4,10,7.2,9.6
Stanley Johnson,20,DET,1,8,200.66,111.13004,8.1,4.4,8.7,6.9,2.4
Stephen Curry,22,GSW,1,7,190.5,83.91452,17.5,18.6,14.7,22.9,24
Stephon Marbury,20,MIN,1,4,187.96,81.64656,15.8,17.7,21.3,22.2,23.9
Sterling Brown,23,MIL,2,46,198.12,104.32616,4,6.4,5.1,8.2,3.3
Steve Blake,24,WAS,2,38,190.5,78.017824,5.9,4.3,8.2,6.4,8.5
Steve Francis,23,HOU,1,2,190.5,87.543256,18,19.9,21.6,21,16.6
Steve Nash,23,PHX,1,15,190.5,88.45044,3.3,9.1,7.9,8.6,15.6
Steve Novak,24,HOU,2,32,208.28,99.79024,1.5,3.9,6.9,2.1,3.5
Steven Adams,20,OKC,1,12,213.36,115.66596,3.3,7.7,8,11.3,13.9
Steven Hunter,20,ORL,1,15,208.28,101.604608,3.6,3.9,3.2,4.6,6.1
Stromile Swift,21,MEM,1,2,205.74,102.0582,4.9,11.8,9.7,9.4,10.1
Svi Mykhailiuk,22,DET,2,47,203.2,92.98636,3.2,9,8.5,4.6,6.9
Taj Gibson,25,CHI,1,26,205.74,102.0582,9,7.1,7.7,8,13
Tariq Abdul-Wahad,23,SAC,1,11,198.12,101.151016,6.4,9.3,11.4,3.8,5.6
Taurean Prince,23,ATL,1,12,203.2,99.79024,5.7,14.1,13.5,12.1,9.5
Tayshaun Prince,23,DET,1,23,205.74,97.52228,3.3,10.3,14.7,14.1,14.3
Terrence Jones,21,HOU,1,18,205.74,114.305184,5.5,12.1,11.7,8.7,10.8
Terrence Ross,22,TOR,1,8,198.12,88.45044,6.4,10.9,9.8,9.9,11
Terry Rozier,22,BOS,1,16,187.96,86.18248,1.8,5.5,11.3,9,18
Thabo Sefolosha,23,CHI,1,13,200.66,97.52228,3.6,6.7,5.9,6,5.1
Thaddeus Young,20,PHI,1,12,203.2,99.79024,8.2,15.3,13.8,12.7,12.8
Thomas Bryant,20,LAL,2,42,208.28,112.490816,1.5,10.5,13.2,14.3,7.4
Thomas Robinson,22,HOU,1,5,208.28,107.501304,4.8,4.8,5.7,4.3,5
Thon Maker,20,MIL,1,10,215.9,101.151016,4,4.8,5,4.7,3.8
Tim Duncan,22,SAS,1,1,213.36,112.490816,21.1,21.7,23.2,22.2,25.5
Tim Hardaway Jr.,22,NYK,1,24,198.12,92.98636,10.2,11.5,6.4,14.5,17.5
Tim Thomas,21,PHI,1,7,208.28,104.32616,11,7.2,11.8,12.6,11.7
Timothe Luwawu-Cabarrot,22,PHI,1,24,198.12,92.98636,6.4,5.8,4.6,7.8,6.4
Tobias Harris,19,MIL,1,19,203.2,102.511792,5,11,14.6,17.1,14.7
Todd Fuller,22,GSW,1,11,210.82,115.66596,4,4,3.4,3.3,2.8
Toney Douglas,24,NYK,1,29,185.42,90.7184,8.6,10.6,6.2,7.5,4
Tony Allen,23,BOS,1,25,193.04,96.615096,6.4,7.2,11.5,6.6,7.8
Tony Battie,22,DEN,1,5,210.82,108.86208,8.4,6.7,6.6,6.5,6.9
Tony Bradley,20,UTA,1,28,208.28,112.490816,0.9,5.7,4.9,7.1,3
Tony Delk,23,CHA,1,16,187.96,85.728888,5.4,10.1,6.8,6.4,12.3
Tony Parker,20,SAS,1,28,187.96,80.285784,9.2,15.5,14.7,16.6,18.9
Tony Snell,22,CHI,1,20,200.66,90.7184,4.5,6,5.3,8.5,6.9
Tracy McGrady,19,TOR,1,9,203.2,95.25432,7,9.3,15.4,26.8,25.6
Trae Young,20,ATL,1,5,187.96,81.64656,19.1,29.6,25.3,28.4,26.2
Travis Diener,24,ORL,2,38,185.42,79.3786,3.8,3.8,6.9,3.7,0.7
Travis Knight,22,LAL,1,29,213.36,106.59412,4.8,6.5,4.2,1.7,0.6
Travis Outlaw,19,POR,1,23,205.74,95.25432,1,5.4,5.8,9.6,13.3
Trenton Hassell,23,CHI,2,29,195.58,90.7184,8.7,4.2,5,6.6,9.2
Trevor Ariza,20,NYK,2,43,203.2,90.7184,5.9,4.6,8.9,5.5,8.9
Trevor Booker,23,WAS,1,23,203.2,108.86208,5.3,8.4,5.3,6.8,7.2
Trey Burke,21,UTA,1,9,185.42,86.18248,12.8,12.8,10.6,5,12.8
Trey Lyles,20,UTA,1,12,208.28,106.140528,6.1,6.2,9.9,8.5,6.4
Tristan Thompson,21,CLE,1,4,205.74,102.965384,8.2,11.7,11.7,8.5,7.8
Troy Brown Jr.,19,WAS,1,15,200.66,97.52228,4.8,10.4,4.7,4.3,7.1
Troy Murphy,22,GSW,1,14,210.82,111.13004,5.9,11.7,10,15.4,14
Ty Lawson,22,DEN,1,18,180.34,88.45044,8.3,11.7,16.4,16.7,17.6
Tyler Hansbrough,24,IND,1,13,205.74,113.398,8.5,11,9.3,7,4.9
Tyler Zeller,23,CLE,1,17,213.36,113.398,7.9,5.7,10.2,6.1,3.5
Tyreke Evans,20,SAC,1,4,198.12,99.79024,20.1,17.8,16.5,15.2,14.5
Tyronn Lue,22,LAL,1,23,182.88,79.3786,5,6,3.4,7.8,8.6
Tyrus Thomas,20,CHI,1,4,205.74,97.52228,5.2,6.8,10.8,9.4,10.2
Tyson Chandler,19,CHI,1,2,215.9,106.59412,6.1,9.2,6.1,8,5.3
Tyus Jones,20,MIN,1,24,187.96,88.45044,4.2,3.5,5.1,6.9,7.4
Victor Oladipo,22,ORL,1,2,193.04,97.52228,13.8,17.9,16,15.9,23.1
Vince Carter,22,TOR,1,5,200.66,97.52228,18.3,25.7,27.6,24.7,20.6
Vitaly Potapenko,22,CLE,1,12,208.28,127.00576,5.8,7.1,10,9.2,7.5
Vladimir Radmanovic,21,OKC,1,12,208.28,106.140528,6.7,10.1,12,11.8,9.8
Vladimir Stepania,23,OKC,1,27,213.36,107.047712,5.5,2.5,2.8,4.3,5.6
Wally Szczerbiak,23,MIN,1,6,200.66,110.222856,11.6,14,18.7,17.6,10.2
Walter McCarty,23,NYK,1,19,208.28,104.32616,1.8,9.6,5.7,3.8,2.2
Wayne Ellington,22,MIN,1,28,193.04,90.7184,6.6,6.6,6.1,7.9,3.2
Wendell Carter Jr.,20,CHI,1,7,208.28,115.66596,10.3,11.3,11.2,15,15.2
Wes Iwundu,23,ORL,2,33,200.66,88.45044,3.7,5,5.8,2.4,7.3
Wesley Johnson,23,MIN,1,4,200.66,92.98636,9,6,8,9.1,9.9
Will Barton,22,POR,2,40,195.58,77.11064,4,4,6.8,14.4,13.7
Willie Cauley-Stein,22,SAC,1,6,213.36,108.86208,7,8.1,12.8,11.9,7.2
Willie Green,22,PHI,2,41,193.04,90.7184,6.9,7.7,7,11.3,12.4
Wilson Chandler,21,NYK,1,23,203.2,99.79024,7.3,14.4,15.3,15.3,9.4
Xavier Henry,20,MEM,1,12,198.12,99.79024,4.3,5.3,3.9,10,2.2
Yao Ming,22,HOU,1,1,226.06,134.263232,13.5,17.5,18.3,22.3,25
Yi Jianlian,20,MIL,1,6,213.36,107.954896,8.6,8.6,12,5.6,2.6
Zach LaVine,20,MIN,1,13,195.58,83.007336,10.1,14,18.9,16.7,23.7
Zach Randolph,20,POR,1,19,205.74,122.46984,2.8,8.4,20.1,18.9,18
Zaza Pachulia,20,ORL,2,42,210.82,108.86208,3.3,6.2,11.7,12.2,5.2
